Title,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Directed by,Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float)
Krampus,"['Thomas Tull', 'Jon Jashni', 'Alex Garcia', 'Michael Dougherty']",Jules O'Loughlin,,97,2015-11-30,Michael Dougherty,Universal Pictures,English,"['Todd Casey', 'Michael Dougherty', 'Zach Shields']","['Adam Scott', 'Toni Collette', 'David Koechner', 'Allison Tolman', 'Conchata Ferrell', 'Emjay Anthony', 'Stefania LaVie Owen', 'Krista Stadler']",John Axelrad,Douglas Pipes,"['Legendary Pictures', 'Zam Pictures']",,,15000000.0,61500000.0
In the Heart of the Sea,"['Brian Grazer', 'Ron Howard', 'Will Ward', 'Joe Roth', 'Paula Weinstein']",Anthony Dod Mantle,,122,2015-12-07,Ron Howard,Warner Bros. Pictures,,Charles Leavitt,"['Chris Hemsworth', 'Benjamin Walker', 'Cillian Murphy', 'Tom Holland', 'Ben Whishaw', 'Brendan Gleeson']","['Dan Hanley', 'Mike Hill']",Roque Baños,"['Village Roadshow Pictures', 'Roth Films', 'Imagine Entertainment', 'RatPac-Dune Entertainment', 'COTT Productions', 'Enelmar Productions A.I.E.', 'Spring Creek Pictures', 'Kia Jam']","['In the Heart of the Sea', 'Nathaniel Philbrick']","['Charles Leavitt', 'Rick Jaffa Amanda Silver']",100000000.0,93900000.0
The Big Short,"['Brad Pitt', 'Dede Gardner', 'Jeremy Kleiner', 'Arnon Milchan']",Barry Ackroyd,United States,130,2015-11-12,Adam McKay,Paramount Pictures,English,"['Charles Randolph', 'Adam McKay']","['Christian Bale', 'Steve Carell', 'Ryan Gosling', 'Brad Pitt']",Hank Corwin,Nicholas Britell,"['Regency Enterprises', 'Plan B Entertainment']","['The Big Short', 'Michael Lewis']",,50000000.0,133400000.0
Alvin and the Chipmunks: The Road Chip,"['Janice Karman', 'Ross Bagdasarian Jr.']",Peter Lyons Collister,United States,92,2015-12-18,Walt Becker,20th Century Fox,English,"['Randi Mayem Singer', 'Adam Sztykiel']","['Jason Lee', 'Tony Hale', 'Kimberly Williams-Paisley', 'Josh Green', 'Justin Long', 'Matthew Gray Gubler', 'Jesse McCartney', 'Kaley Cuoco', 'Anna Faris', 'Christina Applegate']",Ryan Folsey,Mark Mothersbaugh,"['Fox 2000 Pictures', 'Regency Enterprises', 'TSG Entertainment', 'Bagdasarian Productions']","['Alvin and the Chipmunks by Ross Bagdasarian Sr.', 'The Chipettes by Janice Karman']",,90000000.0,234800000.0
Sisters,"['Tina Fey', 'Jay Roach', 'John Lyons']",Barry Peterson,United States,118,2015-12-09,Jason Moore,Universal Pictures,English,Paula Pell,"['Tina Fey', 'Amy Poehler', 'Maya Rudolph', 'Ike Barinholtz', 'James Brolin', 'John Cena', 'John Leguizamo', 'Dianne Wiest']",Lee Haxall,Christophe Beck,"['Little Stranger', 'Everyman Pictures']",,,33000000.0,105000000.0
Star Wars: The Force Awakens,"['Kathleen Kennedy', 'J. J. Abrams', 'Bryan Burk']",Dan Mindel,United States,138,2015-12-14,J. J. Abrams,Walt Disney Studios Motion Pictures,English,"['Lawrence Kasdan', 'J. J. Abrams', 'Michael Arndt']","['Harrison Ford', 'Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', ""Lupita Nyong'o"", 'Andy Serkis', 'Domhnall Gleeson', 'Anthony Daniels', 'Peter Mayhew', 'Max von Sydow']","['Mary Jo Markey', 'Maryann Brandon']",John Williams,"['Lucasfilm Ltd.', 'Bad Robot Productions']","['Characters', 'George Lucas']",,447000000.0,2071000000.0000002
Extraction,"['Randall Emmett', 'George Furla', 'Adam Goldworm']",Brandon Cox,United States,83,2015-12-18,Steven C. Miller,Lionsgate Premiere,English,Max Adams Umair Aleem,"['Kellan Lutz', 'Bruce Willis', 'Gina Carano', 'D. B. Sweeney', 'Dan Bilzerian']",Vincent Tabaillon,Ryan Dodson,"['Grindstone Entertainment Group', 'Emmett/Furla/Oasis Films', 'Ingenious']",,,,1063836.0
Concussion,"['Ridley Scott', 'Giannina Facio', 'David Wolthoff', 'Larry Shuman', 'Elizabeth Cantillon']",Salvatore Totino,United States,122,2015-11-10,Peter Landesman,Sony Pictures Releasing,English,Peter Landesman,"['Will Smith', 'Alec Baldwin', 'Gugu Mbatha-Raw', 'Arliss Howard', 'Paul Reiser', 'Luke Wilson', '', 'David Morse', 'Albert Brooks']",William Goldenberg,James Newton Howard,"['Columbia Pictures', 'LStar Capital', 'Village Roadshow Pictures', 'Scott Free Productions']",Jeanne Marie Laskas,,35000000.0,48600000.0
Daddy's Home,"['Will Ferrell', 'Adam McKay', 'Chris Henchy', 'John Morris']",Julio Macat,United States,96,2015-12-09,Sean Anders,Paramount Pictures,English,"['Brian Burns', 'Sean Anders', 'John Morris']","['Will Ferrell', 'Mark Wahlberg', 'Linda Cardellini']","['Eric Kissack', 'Brad Wilhite']",Michael Andrews,"['Red Granite Pictures', 'Gary Sanchez Productions']",,Brian Burns,50000000.0,242800000.0
Joy,"['John Davis', 'Megan Ellison', 'Jonathan Gordon', 'Ken Mok', 'David O. Russell']",Linus Sandgren,United States,124,2015-12-13,David O. Russell,20th Century Fox,English,David O. Russell,"['Jennifer Lawrence', 'Robert De Niro', 'Édgar Ramírez', 'Diane Ladd', 'Virginia Madsen', 'Isabella Rossellini', 'Bradley Cooper']","['Alan Baumgarten', 'Jay Cassidy', 'Tom Cross', 'Christopher Tellefsen']","['West Dylan Thordson', 'David Campbell']","['Fox 2000 Pictures', 'Davis Entertainment Company', 'Annapurna Pictures', 'TSG Entertainment']",,"['Annie Mumolo', 'David O. Russell']",60000000.0,101100000.0
Point Break,"['Andrew A. Kosove', 'Broderick Johnson', 'John Baldecchi', 'David Valdes', 'Christopher Taylor', 'Kurt Wimmer']",Ericson Core,,114,2015-12-01,Ericson Core,"['Warner Bros. Pictures (North America, Latin America, United Kingdom, Japan, Russia and Ukraine)', 'Concorde Filmverleih (Germany)', 'China Film Group Corporation (China)', 'Summit Entertainment (International)']",English,Kurt Wimmer,"['Édgar Ramírez', 'Luke Bracey', 'Teresa Palmer', 'Delroy Lindo', 'Ray Winstone']","['Thom Noble', 'Gerald B. Greenberg', 'John Duffy']",Tom Holkenborg,"['Alcon Entertainment', 'Taylor-Baldecchi-Wimmer Productions', 'DMG Entertainment', 'Studio Babelsberg']","['Rick King', 'W. Peter Iliff']","['Rick King', 'W. Peter Iliff', 'Kurt Wimmer']",105000000.0,133699999.99999999
