Title,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Directed by,Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float)
Chloe,"['Joe Medjuck', 'Jeffrey Clifford', 'Ivan Reitman']",Paul Sarossy,,96,2009-09-13,Atom Egoyan,"['Sony Pictures Classics (United States)', 'E1 Distribution (Canada)', 'StudioCanal (France)']",English,Erin Cressida Wilson,"['Julianne Moore', 'Liam Neeson', 'Amanda Seyfried', 'Max Thieriot']",Susan Shipton,Mychael Danna,"['The Montecito Picture Company', 'StudioCanal']","['Nathalie...', 'Anne Fontaine']",,12000000.0,13600000.0
Waking Sleeping Beauty,Peter Schneider,,United States,85,2009-09-06,Don Hahn,Walt Disney Studios Motion Pictures,English,Patrick Pacheco,"['Roy E. Disney', 'Michael Eisner', 'Jeffrey Katzenberg', 'Randy Cartwright', 'Howard Ashman']",Ellen Keneshea Vartan Nazarian John Damien Ryan,Chris P. Bacon,Stone Circle Pictures,,,,84918.0
The Last Song,Adam Shankman,John Lindley,United States,107,2010-03-31,Julie Anne Robinson,Walt Disney Studios Motion Pictures,English,Nicholas Sparks,"['Miley Cyrus', 'Liam Hemsworth', 'Bobby Coleman', 'Kelly Preston', 'Greg Kinnear']",Nancy Richardson,Aaron Zigman,"['Touchstone Pictures', 'Offspring Entertainment']",The Last Song,,20000000.0,89000000.0
Clash of the Titans,"['Basil Iwanyk', 'Kevin De La Noy', 'Richard D. Zanuck']",Peter Menzies Jr.,,108,2010-04-02,Louis Leterrier,Warner Bros. Pictures,English,"['Travis Beacham', 'Phil Hay', 'Matt Manfredi']","['Sam Worthington', 'Gemma Arterton', 'Mads Mikkelsen', 'Alexa Davalos', 'Ralph Fiennes', 'Liam Neeson']","['Vincent Tabaillon', 'Martin Walsh']",Ramin Djawadi,"['Legendary Pictures', 'The Zanuck Company', 'Thunder Road Pictures']","['Clash of the Titans', 'Beverley Cross']",,125000000.0,493200000.0
Why Did I Get Married Too?,Reuben Cannon,Toyomichi Kurita,United States,121,2010-04-02,Tyler Perry,Lionsgate,English,Tyler Perry,"['Janet Jackson', 'Jill Scott', 'Sharon Leal', 'Malik Yoba', 'Richard T. Jones', 'Tasha Smith', 'Lamman Rucker', 'Michael Jai White', 'Louis Gossett Jr.', 'Cicely Tyson']",Maysie Hoy,Aaron Zigman,Tyler Perry Studios,Characters by Tyler Perry,,20000000.0,60700000.0
Don McKay,Jim Young,Phil Parmet,United States,87,2009-04-24,Jake Goldberger,Image Entertainment,English,Jake Goldberger,"['Thomas Haden Church', 'Elisabeth Shue', 'Melissa Leo', 'James Rebhorn', 'Keith David', 'M. Emmet Walsh']",Andrew Dickler,Steven Bramson,Animus Films,,,3000000.0,
The Greatest,"['Lynette Howell', 'Beau St. Clair']",John Bailey,United States,98,2009-01-17,Shana Feste,Paladin,English,Shana Feste,"['Pierce Brosnan', 'Susan Sarandon', 'Carey Mulligan']",Cara Silverman,Christophe Beck,Irish DreamTime,,,6000000.0,985181.0
Date Night,Shawn Levy,Dean Semler,United States,88,2010-04-06,Shawn Levy,20th Century Fox,English,Josh Klausner,"['Steve Carell', 'Tina Fey', 'Taraji P. Henson', 'Common', 'Mark Wahlberg']",Dean Zimmerman,Christophe Beck,"['20th Century Fox', '21 Laps Entertainment', 'Dune Entertainment']",,,55000000.0,152300000.0
Letters to God,"David Nixon, Kim Dawson, Tom Swanson, Art D'Alessandro",Bob Scott,United States,110,2010-04-09,David Nixon,Vivendi Entertainment,English,"['Patrick Doughtie', ""Art D'Alessandro"", 'Sandra Thrift', 'Cullen Douglas']","['Robyn Lively', 'Jeffrey S.S. Johnson', 'Maree Cheatham', 'Tanner Maguire', 'Michael Christopher Bolten', 'Bailee Madison', 'Ralph Waite']",Patrick Tyler,Colin O'Malley,Possibility Pictures,,,4000000.0,2900000.0
After.Life,"['Bill Perkins', 'Celine Rattray']",Anastas N. Michos,United States,104,2009-11-07,Agnieszka Wójtowicz-Vosloo,Anchor Bay Entertainment,English,Agnieszka Wojtowicz-Vosloo Paul Vosloo Jakub Korolczuk,"['Christina Ricci', 'Liam Neeson', 'Justin Long']",Niven Howie,Paul Haslinger,Plum Pictures,,,,2002618.0
The Black Waters of Echo's Pond,Raymond J. Markovich Jason Loughbridge,"Massimo Zeri, AIC",United States,,2009-10-11,Gabriel Bologna,Parallel Media,English,Michael Berenson Gabriel Bologna Sean Clark,"['Robert Patrick', 'Danielle Harris', 'James Duval', 'Nick Mennell', 'Mircea Monroe']",Andrew Cohen Michael Spencer,Harry Manfredini,Parallel Media Project 8 Films,,,5000000.0,224409.0
"La
Mission",Benjamin Bratt,Hiro Narita,United States,117,2009-01-19,Peter Bratt,Global Cinema Distribution,English,Peter Bratt,"['Benjamin Bratt', 'Jeremy Ray Valdez', 'Erika Alexander', 'Jesse Borrego']",Stan Webb,Mark Kilian,,,,,
When You're Strange,"['John Beug', 'Jeff Jampol', 'Peter Jankowski', 'Dick Wolf']",Paul Ferrara,United States,86,2009-01-17,Tom DiCillo,Rhino Entertainment,English,Tom DiCillo,,"['Micky Blythe', 'Kevin Krasny']",The Doors,,,,,2800000.0
Death at a Funeral,"['Sidney Kimmel', 'William Horberg', 'Chris Rock', 'Share Stallings', 'Laurence Malkin']",Rogier Stoffers,,92,2010-04-12,Neil LaBute,"['Screen Gems', 'Sony Pictures Releasing']",English,Dean Craig,"['Loretta Devine', 'Peter Dinklage', 'Danny Glover', 'Regina Hall', 'Martin Lawrence', 'James Marsden', 'Tracy Morgan', 'Chris Rock', 'Zoë Saldaña', 'Columbus Short', 'Luke Wilson', 'Keith David', 'Ron Glass', 'Kevin Hart']",Tracey Wadmore-Smith,Christophe Beck,"['Sidney Kimmel Entertainment', 'Wonderful Films', 'Parabolic Pictures', 'Stable Way Entertainment']",Death at a Funeral,,21000000.0,49100000.0
Kick-Ass,"['Matthew Vaughn', 'Brad Pitt', 'Kris Thykier', 'Adam Bohling', 'Tarquin Pack', 'David Reid']",Ben Davis,,118,2010-03-12,Matthew Vaughn,"['Lionsgate (United States)', 'Focus Features International (Uncredited; United Kingdom, Australia, Germany, Latin America, Austria, Switzerland and New Zealand; through Universal Pictures )']",English,"['Jane Goldman', 'Matthew Vaughn']","['Aaron Johnson', 'Christopher Mintz-Plasse', 'Chloë Grace Moretz', 'Mark Strong', 'Nicolas Cage']","['Pietro Scalia', 'Jon Harris', 'Eddie Hamilton']","['John Murphy', 'Henry Jackman', 'Marius de Vries', 'Ilan Eshkeri']","['Marv Films', 'Plan B Entertainment']","['Mark Millar', 'John Romita Jr.']",,28000000.0,96200000.0
The City of Your Final Destination,"['Paul Bradley', 'Pierre Proner']",Javier Aguirresarobe,United States,118,2009-03-21,James Ivory,Screen Media Films,English,Ruth Prawer Jhabvala,"['Anthony Hopkins', 'Laura Linney', 'Charlotte Gainsbourg', 'Norma Aleandro', 'Alexandra Maria Lara', 'Omar Metwally', 'Hiroyuki Sanada']",John David Allen,Jorge Drexler,"['Hyde Park International', 'Merchant Ivory Productions']",Peter Cameron,,8300000.000000001,1400000.0
Exit Through the Gift Shop,Jaimie D'Cruz,,United Kingdom,87,2010-01-24,Banksy,Revolver Entertainment,,,"['Banksy', 'Mr. Brainwash', 'Shepard Fairey', 'Invader']",Chris King Tom Fulford,Geoff Barrow,Paranoid Pictures,,,,5300000.0
The Joneses,"['Doug Mankoff', 'Kristi Zea']",Yaron Orbach,United States,96,2009-09-13,Derrick Borte,Roadside Attractions,English,Derrick Borte,"['Demi Moore', 'David Duchovny', 'Amber Heard', 'Ben Hollingsworth', 'Gary Cole', 'Lauren Hutton']",Janice Hampton,Nick Urata,"['Premiere Picture', 'Echo Lake Productions']",,,10000000.0,7000000.0
The Perfect Game,Jason French,Bryan F. Greenberg,United States,118,2009-03-21,William Dear,"['Lionsgate', 'Image Entertainment']",English,W. William Winokur,"['Clifton Collins Jr.', 'Cheech Marin', 'Emilie de Ravin', 'Jake T. Austin', 'Moises Arias', 'Jansen Panettiere', 'Ryan Ochoa', 'Louis Gossett Jr.', 'Bruce McGill']",Chris Conlee,Bill Conti,IndustryWorks Pictures HighRoad Entertainment Prelude Pictures Lone Runner Entertainment Independent Producers Alliance,,,,3878993.0
Oceans,Jake Eberts,David Reichert,France,104,2009-10-17,Jacques Perrin,Pathé Distribution,French,Laurent Gaudé,,Catherine Mauchain Vincent Schmidt,Bruno Coulais,"['Pathé', 'Participant Media', 'France 2 Cinéma', 'France 3 Cinéma', 'Canal+', 'TPS Star', 'Alfred P. Sloan Foundation', 'Census of Marine Life']",,,80000000.0,82700000.0
The Back-up Plan,"['Todd Black', 'Jason Blumenthal', 'Steve Tisch']",Xavier Pérez Grobet,United States,104,2010-04-23,Alan Poul,"['CBS Films', 'Sony Pictures Releasing International']",English,Kate Angelo,"['Jennifer Lopez', ""Alex O'Loughlin"", 'Eric Christian Olsen', 'Michaela Watkins', 'Melissa McCarthy', 'Danneel Harris', 'Linda Lavin']",Priscilla Nedd-Friendly,Stephen Trask,Escape Artists,,,35000000.0,77500000.0
The Losers,"['Joel Silver', 'Akiva Goldsman', 'Kerry Foster']",Scott Kevan,United States,97,2010-04-23,Sylvain White,Warner Bros. Pictures,English,"['Peter Berg', 'James Vanderbilt']","['Jeffrey Dean Morgan', 'Zoe Saldana', 'Chris Evans', 'Idris Elba', 'Columbus Short', 'Oscar Jaenada', 'Jason Patric']",David Checel,John Ottman,"['Dark Castle Entertainment', 'Vertigo (DC)', 'StudioCanal', 'Weed Road Pictures']","['Andy Diggle', 'Jock']",,25000000.0,29900000.0
Behind the Burly Q,"['Leslie Zemeckis', 'Sheri Hellard', 'Robert Zemeckis']",Sheri Hellard,United States,98,2010-04-23,Leslie Zemeckis,First Run Features,English,Leslie Zemeckis,,Evan Finn,Phil Marshall,"Mistress, Inc.",,,,23889.0
Boogie Woogie,"['Danny Moynihan', 'Kami Naghdi', 'Christopher Simon', 'Cat Villiers']",John Mathieson,United Kingdom,94,2009-06-26,Duncan Ward,Vertigo Films,English,Danny Moynihan,"['Gillian Anderson', 'Alan Cumming', 'Heather Graham', 'Danny Huston', 'Christopher Lee', 'Joanna Lumley', 'Charlotte Rampling', 'Amanda Seyfried', 'Stellan Skarsgård', 'Jaime Winstone']",Kant Pan,Janusz Podrazik,"['The Works International', 'Constance Media', 'Firefly Films', 'Muse Productions', 'P&C Arcade Films', 'Piccadilly Pictures', 'Autonomous', 'Colourframe', 'S Films']",Boogie Woogie by Danny Moynihan,,6000000.0,47527.0
Breath Made Visible,,,,82,2009-08-07,Ruedi Gerber,,English,,,,,,,,,
Paper Man,"['Richard N. Gladstein', 'Guymon Casady']",Eigil Bryld,United States,110,2009-06-15,Kieran Mulroney,MPI Media Group,English,Kieran Mulroney Michele Mulroney,"['Jeff Daniels', 'Ryan Reynolds', 'Emma Stone', 'Kieran Culkin', 'Hunter Parrish', 'Lisa Kudrow']",Sam Seig,Mark McAdam,FilmColony,,,,13514.0
Furry Vengeance,"['Robert Simonds', 'Keith Goldberg']",Peter Lyons Collister,United States,92,2010-04-30,Roger Kumble,Summit Entertainment,English,"['Michael Carnes', 'Josh Gilbert']","['Brendan Fraser', 'Brooke Shields', 'Ken Jeong']",Lawrence Jordan,Edward Shearmur,"['Participant Media', 'Imagenation Abu Dhabi', 'Robert Simonds Productions']",,,35000000.0,36200000.0
A Nightmare on Elm Street,"['Michael Bay', 'Andrew Form', 'Brad Fuller']",Jeff Cutter,United States,95,2010-04-27,Samuel Bayer,Warner Bros. Pictures,English,"['Wesley Strick', 'Eric Heisserer']","['Jackie Earle Haley', 'Kyle Gallner', 'Rooney Mara', 'Katie Cassidy', 'Thomas Dekker', 'Kellan Lutz']",Glen Scantlebury,Steve Jablonsky,"['New Line Cinema', 'Platinum Dunes']","['A Nightmare on Elm Street', 'Wes Craven']",Wesley Strick,35000000.0,117700000.0
Freakonomics,"['Chad Troutwine', 'Chris Romano', ""Dan O'Meara""]","['Junji Aoki', 'Derek Hallquist', 'Tony Hardmon', 'Darren Lew', 'Daniel Marracino', 'Ferne Pearlstein', 'Rob VanAlkemade']",United States,85,2010-04-30,"['Heidi Ewing', 'Alex Gibney', 'Seth Gordon', 'Rachel Grady', 'Eugene Jarecki', 'Morgan Spurlock']",Magnolia Pictures,English,"['Peter Bull', 'Alex Gibney', 'Jeremy Chilnick', 'Morgan Spurlock', 'Eugene Jarecki', 'Heidi Ewing', 'Rachel Grady', 'Seth Gordon']",,"['Douglas Blush', 'Tova Goodman', 'Sloane Klevin', 'Luis Lopez', 'Nelson Ryland', 'Michael Taylor']","['Paul Brill', 'Craig DeLeon', 'Michael Furjanic', 'Human', 'Mike MacAllister', 'Peter Nashel', 'Jon Spurney', 'Michael Wandmacher']","['Chad Troutwine Films', 'Cold Fusion Media Group', 'Green Film Company', 'Human Worldwide', 'Jigsaw Productions', 'Loki Films']",,,2900000.0,103735.0
The Good Heart,,Rasmus Videbæk,,95,2009-09-11,Dagur Kári,Magnolia Pictures,English,Dagur Kári,"['Brian Cox', 'Paul Dano', 'Isild Le Besco']",Andri Steinn,,Zik Zak Filmworks,,,,343818.0
Harry Brown,Matthew Vaughn,Martin Ruhe,United Kingdom,103,2009-09-12,Daniel Barber,Lionsgate,English,Gary Young,"['Michael Caine', 'Emily Mortimer', 'Charlie Creed-Miles', 'David Bradley', 'Iain Glen', 'Sean Harris', 'Ben Drew', ""Jack O'Connell"", 'Jamie Downey', 'Liam Cunningham']",Joe Walker,"['Martin Phipps', 'Ruth Barrett', 'Pete Tong', 'Theo Green']","['Marv Partners', 'UK Film Council', 'HanWay Films']",,,7300000.0,10300000.0
Please Give,Anthony Bregman,Yaron Orbach,United States,87,2010-01-22,Nicole Holofcener,Sony Pictures Classics,English,Nicole Holofcener,"['Catherine Keener', 'Oliver Platt', 'Ann Guilbert', 'Amanda Peet', 'Rebecca Hall', 'Elizabeth Keener', 'Sarah Steele']",Robert Frazen,Marcelo Zarvos,Likely Story,,,3000000.0,4600000.0
The Infidel,Arvind Ethan David,Natasha Braier,United Kingdom,105,2010-04-09,Josh Appignanesi,Revolver,English,David Baddiel,"['Omid Djalili', 'Richard Schiff', 'Archie Panjabi', 'Amit Kaushik Shah', 'Yigal Naor', 'Matt Lucas', 'Ricky Sekhon']",Kim Gaster,Erran Baron Cohen,"['Slingshot Productions', 'Met Film Production']",,,,
Sex & Drugs & Rock & Roll,Damian Jones,"['Christopher Ross', 'Brian Tufano']",United Kingdom,113,2010-01-08,Mat Whitecross,Entertainment Film Distributors,English,Paul Viragh,"['Andy Serkis', 'Naomie Harris', 'Ray Winstone', 'Olivia Williams', 'Noel Clarke', 'Toby Jones', 'Mackenzie Crook', 'Bill Milner']",,Chaz Jankel,DJ Films,,,,1000000.0
The Trotsky,Kevin Tierney,Guy Dufaux,Canada,120,2009-09-11,Jacob Tierney,Alliance Films,English,Jacob Tierney,"['Jay Baruchel', 'Emily Hampshire', 'Colm Feore', 'Saul Rubinek', 'Michael Murphy']",Arthur Tarnowski,Malajube,Portman Entertainment Group,,,,440000.0
Iron Man 2,Kevin Feige,Matthew Libatique,United States,125,2010-04-26,Jon Favreau,Paramount Pictures,English,Justin Theroux,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Scarlett Johansson', 'Sam Rockwell', 'Mickey Rourke', 'Samuel L. Jackson']","['Dan Lebental', 'Richard Pearson']",John Debney,Marvel Studios,"['Stan Lee', 'Larry Lieber', 'Don Heck', 'Jack Kirby']",,170000000.0,623900000.0
Babies,Alain Chabat,Steeven Petitteville,France,79,2010-04-14,Thomas Balmès,StudioCanal,,,Ponijao Bayar(jargal) Mari Hattie,Craig McKay,Bruno Coulais,StudioCanal,,,,
Casino Jack and the United States of Money,"['Mark Cuban', 'Jeff Skoll', 'Todd Wagner', 'Diane Weyermann']",Maryse Alberti,United States,118,,Alex Gibney,Magnolia Pictures,English,Alex Gibney,,Alison Ellwood,David Robbins,Participant Media,,,,176865.0
The Lightkeepers,,Tom Jewett,United States,97,2009-12-18,Daniel Adams,,English,Daniel Adams,"['Richard Dreyfuss', 'Bruce Dern', 'Blythe Danner', 'Mamie Gummer', 'Tom Wisdom', 'Julie Harris']",Dean Goodhill,Pinar Toprak,,,,,32307.0
Multiple Sarcasms,Chris Bongirne,Jacek Laskus,United States,97,2010-04-08,Brooks Branch,Multiple Avenue Releasing,English,Brooks Branch Linda Morris,"['Timothy Hutton', 'Mira Sorvino', 'Stockard Channing', 'Dana Delany', 'Chris Sarandon', 'Mario Van Peebles']",Plummy Tucker,George J. Fontenette,Multiple Avenue Releasing,,,,
Mother and Child,Lisa Maria Falcone Julie Lynn,Xavier Pérez Grobet,,125,2009-09-14,Rodrigo García,Sony Pictures Classics,English,Rodrigo García,"['Naomi Watts', 'Annette Bening', 'Kerry Washington', 'Jimmy Smits', 'Samuel L. Jackson', 'David Morse', 'David Ramsey']",Steven Weisberg,Ed Shearmur,Cha Cha Cha Films,,,7000000.0,5600000.0
OSS 117: Lost in Rio,"['Éric Altmayer', 'Nicolas Altmeyer']",Guillaume Schiffman,France,101,2009-04-15,Michel Hazanavicius,Gaumont,French,Jean-François Halin Michel Hazanavicius,"['Jean Dujardin', 'Louise Monot']",,Ludovic Bource,,"['OSS 117', 'Jean Bruce']",,26800000.0,21800000.0
The Oath,Jonathan Oppenheim,Kirsten Johnson,United States,90,2010-01-22,Laura Poitras,Zeitgeist Films,Arabic,,,Jonathan Oppenheim,Osvaldo Golijov,,,,,
Trash Humpers,Agnès b.,Harmony Korine,United States,78,2009-09-12,Harmony Korine,Drag City,English,Harmony Korine,Rachel Korine,Leo Scott,,"['Alcove Entertainment', 'Warp Films']",,,,
Metropia,Kristina Åberg,Sesse Lind,,86,2009-09-02,Tarik Saleh,Sandrew Metronome,English,Stig Larsson,"['Vincent Gallo', 'Stellan Skarsgård', 'Udo Kier', 'Alexander Skarsgård', 'Juliette Lewis']",Johan Söderberg,Krister Linder,Zentropa Entertainments,,Tarik Saleh Fredrik Edin Martin Hultman,,
Just Wright,"['Debra Martin Chase', 'Queen Latifah', 'Shakim Compere']",Terry Stacey,United States,101,2010-05-14,Sanaa Hamri,Fox Searchlight Pictures,English,Michael Elliot,"['Queen Latifah', 'Common', 'Paula Patton']",Melissa Kent,"['Wendy Melvoin', 'Lisa Coleman']","['Flavor Unit Entertainment', 'Dune Entertainment']",,,12000000.0,21500000.0
Letters to Juliet,"['Caroline Kaplan', 'Ellen Barkin', 'Mark Canton']",Marco Pontecorvo,United States,105,2010-04-25,Gary Winick,Summit Entertainment,,"['José Rivera', 'Tim Sullivan']","['Amanda Seyfried', 'Christopher Egan', 'Gael García Bernal', 'Vanessa Redgrave', 'Franco Nero']",Bill Pankow,Andrea Guerra,Applehead Pictures,,,30000000.0,80000000.0
Robin Hood,"['Ridley Scott', 'Brian Grazer', 'Russell Crowe']",John Mathieson,,140,2010-05-12,Ridley Scott,Universal Pictures,English,Brian Helgeland,"['Russell Crowe', 'Cate Blanchett', 'William Hurt', 'Mark Strong', 'Mark Addy', 'Oscar Isaac', 'Danny Huston', 'Eileen Atkins', 'Max von Sydow']",Pietro Scalia,Marc Streitenfeld,"['Imagine Entertainment', 'Relativity Media', 'Scott Free Productions']",,"['Brian Helgeland', 'Ethan Reiff Cyrus Voris']",155000000.0,321700000.0
Daddy Longlegs,"['Casey Neistat', 'Tom Scott']","['Brett Jutkiewicz', 'Josh Safdie']",United States,97,2009-05-16,,IFC Films,English,"['Josh Safdie', 'Benny Safdie', 'Ronald Bronstein']","['Ronald Bronstein', 'Sage Ranaldo', 'Frey Ranaldo']","['Brett Jutkiewicz', 'Josh Safdie', 'Benny Safdie', 'Ronald Bronstein']",,"['Red Bucket Films', 'Sophie Dulac Productions']",,,,33217.0
Here and There,Vladan Nikolic,Mathias Schöningh,Serbia,,2009-04-22,Darko Lungulov,"['Vivendi Entertainment', 'Lightyear Entertainment']",Serbian,Darko Lungulov,"['David Thornton', 'Branislav Trifunović', 'Cyndi Lauper', 'Mirjana Karanović', 'Jelena Mrđa', 'Antone Pagan']",,,,,,300000.0,18000.0
Looking for Eric,Rebecca O'Brien,Barry Ackroyd,,116,2009-05-18,Ken Loach,Icon Film Distribution,English,Paul Laverty,"['Eric Cantona', 'Steve Evets', 'Lucy-Jo Hudson', 'Matthew McNulty', 'Gerard Kearns', 'John Henshaw', 'Stefan Gumbs']",Jonathan Morris,George Fenton,Film4 Productions,,,,11546932.0
Princess Kaiulani,Lauri Apelion Marc Forby Ricardo S. Galindez Nigel Thomas Roy Tjioe,,,97,2009-10-16,Marc Forby,Roadside Attractions,English,"['Marc Forby', 'Robert Payne']","[""Q'orianka Kilcher"", 'Barry Pepper', 'Will Patton', 'Julian Glover', 'Shaun Evans']",,Stephen Warbeck,"['Island Film Group', 'ContentFilm']",,,9000000.0,883887.0
Touching Home,Logan Miller Noah Miller Jeromy Zajonc,Ricardo Jacques Gale,United States,111,2008-04-29,Logan Miller Noah Miller,CFI Releasing,English,Logan Miller Noah Miller,"['Ed Harris', 'Brad Dourif', 'Robert Forster']",Robert Dalva,Martin Davitch,,,,2000000.0,116353.0
MacGruber,"['Lorne Michaels', 'John Goldwyn']",Brandon Trost,United States,91,2010-03-15,Jorma Taccone,Universal Pictures,English,"['Will Forte', 'John Solomon', 'Jorma Taccone']","['Will Forte', 'Kristen Wiig', 'Ryan Phillippe', 'Val Kilmer', 'Maya Rudolph', 'Powers Boothe']",Jamie Gross,Matthew Compton,"['Rogue Pictures', 'Relativity Media', 'Michaels - Goldwyn']","['Will Forte', 'John Solomon', 'Jorma Taccone']",,10000000.0,9300000.0
Shrek Forever After,"['Gina Shay', 'Teresa Cheng']",Yong Duk Jhun,United States,93,2010-04-21,Mike Mitchell,Paramount Pictures,English,"['Josh Klausner', 'Darren Lemke']","['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'Antonio Banderas', 'Julie Andrews', 'Walt Dohrn']",Nick Fletcher,Harry Gregson-Williams,,"['Shrek!', 'William Steig']",,135000000.0,756200000.0
Holy Rollers,"['Danny A. Abeckaser', 'Tory Tunnell', 'Per Melita', 'Jen Gatien']",Ben Kutchins,United States,89,2010-01-25,Kevin Asch,First Independent Pictures,English,Antonio Macia,"['Jesse Eisenberg', 'Justin Bartha', 'Ari Graynor', 'Danny A. Abeckaser', 'Q-Tip']",Suzanne Spangler,MJ Mynarski,,,,,
John Rabe,"['Benjamin Herrmann', 'Mischa Hofmann', 'Jan Mojto']",Jürgen Jürges,,134,2009-04-02,Florian Gallenberger,"['20th Century Fox (Germany)', 'Aramis Films (France)', 'Huayi Brothers (China)']",,Florian Gallenberger,"['Ulrich Tukur', 'Daniel Brühl', 'Steve Buscemi', 'Anne Consigny', 'Jingchu Zhang']",Hansjörg Weißbrich,Annette Focks,"['Majestic Filmproduktion', 'Canal+', 'Huayi Brothers', 'France 2 Cinéma', 'Antena 3 Films', 'RAI Cinema', 'ORF']",,,,1500000.0
